기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2018	합계	70,976,898	30,278,044	7,337,528	14,058,173	2,279,386	14,517,163	2,506,604
2018	광나루	4,089,286	1,702,089	552,005	1,733,862	40,611	-	60,719
2018	잠실	3,883,577	1,456,780	832,004	1,475,575	34,997	-	84,221
2018	뚝섬	16,988,945	9,296,505	1,855,461	2,345,914	562,691	2,318,813	609,561
2018	잠원	2,346,791	917,454	611,820	690,551	50,140	-	76,826
2018	반포	7,041,781	3,681,534	509,735	1,264,704	175,445	1,283,972	126,391
2018	이촌	3,269,790	1,184,210	851,670	867,710	283,800	-	82,400
2018	여의도	22,260,354	7,224,801	696,722	1,690,395	478,409	10,914,378	1,255,649
2018	양화	1,770,115	789,285	250,262	659,319	58,160	-	13,089
2018	망원	2,824,843	1,195,669	463,580	1,018,173	122,528	-	24,893
2018	난지	3,958,457	1,974,960	204,120	1,161,371	453,687	-	164,319
2018	강서	2,542,959	854,757	510,149	1,150,599	18,918	-	8,536
